Email	City	FirstName	LastName	Phone	Country	ZipCode	Street
robert.smith@hotmail.com	Marseille	Robert	Smith	+39698868405	Italy	69993	Avenue Victor Hugo 66
luc.dupont@gmail.com	Lyon	Luc	Dupont	0601465977	UK	70558	Place de la République 78
 jean.rossi@hotmail.com 	Toulouse	Jean	Rossi	0675126530	France	52359	Place de la République 42
 paul.bernard@gmail.com 	BORDEAUX	PAUL	BERNARD	+34653777753	Spain	44688	CHEMIN VERT 179
john.durand@mail.com	London	John	Durand	0656887599	Spain	17632	Chemin Vert 69
sophie.durand@hotmail.com	MARSEILLE	SOPHIE	DURAND	0049638834206	Germany	93581	PLACE DE LA RÉPUBLIQUE 181
marie.muller@mail.com	Rome	Marie	Muller	0033610260922	France	67692	Rue de la Paix 130
claire.durand@mail.com	Lyon	Claire	Durand	0039665483007	Italy	39772	Boulevard Saint-Michel 86
claire.petit@hotmail.com	Rome	Claire	Petit	0033610686701	France	14185	Boulevard Saint-Michel 92
alice.dupont@hotmail.com	PARIS	ALICE	DUPONT	0644462680	Spain	69752	BOULEVARD SAINT-MICHEL 162
 robert.martin@gmail.com 	London	Robert	Martin	0044615141322	UK	23087	Avenue Victor Hugo 188
alice.martin@yahoo.com	BORDEAUX	ALICE	MARTIN	0605230956	Germany	85633	PLACE DE LA RÉPUBLIQUE 70
anna.petit@gmail.com	TOULOUSE	ANNA	PETIT	+39638499695	Italy	99673	CHEMIN VERT 101
paul.martin@mail.com	Bordeaux	Paul	Martin	0629471982	Germany	60428	Rue de la Paix 167
sophie.durand@yahoo.com	Toulouse	Sophie	Durand	+39695864007	Italy	81526	Boulevard Saint-Michel 151
john.bernard@hotmail.com	NICE	JOHN	BERNARD	0603188941	France	15827	CHEMIN VERT 73
john.rossi@mail.com	Berlin	John	Rossi	0049652809721	Germany	72283	Boulevard Saint-Michel 143
 jean.garcia@mail.com 	London	Jean	Garcia	0614485096	Germany	47658	Avenue Victor Hugo 172
 anna.petit@hotmail.com 	LYON	ANNA	PETIT	0044657277255	UK	61796	AVENUE VICTOR HUGO 159
paul.dupont@hotmail.com	BERLIN	PAUL	DUPONT	0039624006570	Italy	61632	AVENUE VICTOR HUGO 88
paul.muller@gmail.com	NICE	PAUL	MULLER	0648013382	Spain	22977	BOULEVARD SAINT-MICHEL 191
sophie.smith@hotmail.com	London	Sophie	Smith	0049627481886	Germany	72715	Chemin Vert 9
 paul.durand@mail.com 	Marseille	Paul	Durand	0689248040	UK	32742	Place de la République 124
anna.dupont@mail.com	MARSEILLE	ANNA	DUPONT	+34641859737	Spain	78662	RUE DE LA PAIX 23
marie.brown@mail.com	Madrid	Marie	Brown	0044604660368	UK	57032	Rue de la Paix 104
robert.brown@gmail.com	London	Robert	Brown	+44683609709	UK	85649	Avenue Victor Hugo 66
 john.brown@hotmail.com 	Paris	John	Brown	0033607750598	France	95771	Chemin Vert 77
claire.petit@hotmail.com	Marseille	Claire	Petit	0044642520099	UK	32522	Boulevard Saint-Michel 191
paul.smith@gmail.com	Berlin	Paul	Smith	+44693435406	UK	52188	Rue de la Paix 183
sophie.muller@gmail.com	LONDON	SOPHIE	MULLER	0049644108626	Germany	82460	PLACE DE LA RÉPUBLIQUE 29
marie.dupont@gmail.com	Berlin	Marie	Dupont	+49659520930	Germany	13014	Avenue Victor Hugo 144
 alice.garcia@mail.com 	Paris	Alice	Garcia	0044688066277	UK	28252	Avenue Victor Hugo 130
john.smith@gmail.com	ROME	JOHN	SMITH	+49663760136	Germany	41794	PLACE DE LA RÉPUBLIQUE 15
jean.smith@gmail.com	London	Jean	Smith	+33625280892	France	20286	Place de la République 132
paul.bernard@gmail.com	Paris	Paul	Bernard	0049668856318	Germany	63261	Boulevard Saint-Michel 167
paul.brown@yahoo.com	ROME	PAUL	BROWN	0049652709485	Germany	21588	CHEMIN VERT 43
robert.petit@hotmail.com	London	Robert	Petit	+34675966299	Spain	91626	Chemin Vert 74
jean.dupont@yahoo.com	Lyon	Jean	Dupont	+33650860602	France	45435	Boulevard Saint-Michel 29
claire.brown@yahoo.com	NICE	CLAIRE	BROWN	0049616136032	Germany	46323	AVENUE VICTOR HUGO 43
 claire.dupont@yahoo.com 	Marseille	Claire	Dupont	0659542301	Spain	79781	Rue de la Paix 5
paul.garcia@hotmail.com	Lyon	Paul	Garcia	0039675800880	Italy	37817	Rue de la Paix 1
luc.smith@hotmail.com	Lyon	Luc	Smith	0044605467328	UK	38038	Rue de la Paix 89
luc.durand@yahoo.com	MADRID	LUC	DURAND	+44663339451	UK	52638	RUE DE LA PAIX 29
 robert.bernard@mail.com 	Nice	Robert	Bernard	+44627120638	UK	65822	Rue de la Paix 175
